Time,Follower1_Position_Gain,Follower1_Velocity_Gain,Follower2_Position_Gain,Follower2_Velocity_Gain,Follower3_Position_Gain,Follower3_Velocity_Gain,Follower4_Position_Gain,Follower4_Velocity_Gain,Follower5_Position_Gain,Follower5_Velocity_Gain,Follower6_Position_Gain,Follower6_Velocity_Gain
18.950545,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.951868,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.953191,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.954513,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.955741,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.956970,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.958198,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.959426,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.960859,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.962292,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.963725,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.965158,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.966896,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.968635,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.970373,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.972112,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.973882,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.975652,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.977421,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.979191,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.980654,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.982116,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.983579,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.985042,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.986268,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.987494,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.988720,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.989946,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.991242,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.992538,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.993833,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.995129,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.996729,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.998328,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
18.999928,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
19.001527,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
19.003282,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
19.005037,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
19.006792,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
19.008547,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000,96.000000,3072.000000
